Automated__c,CASESAFE__c,Contract_Renewal__c,CreatedById,CreatedDate,DP_ASO__c,DP_Ext_War__c,DP_Prem_1Yr__c,DP_Prem_3Yr__c,DP_Prem_5Yr_Plus__c,DP_Prem_5Yr__c,Description,DisplayUrl,ExternalDataSourceId,External_Key__c,Family,Id,IsActive,IsArchived,IsDeleted,LastModifiedById,LastModifiedDate,LastReferencedDate,LastViewedDate,MDS_304_3S_1YR__c,MDS_304_3S_3YR__c,MDS_304_3S_5YR__c,MDS_304_FSC_1YR__c,MDS_304_FSC_3YR__c,MDS_304_FSC_5YR__c,Manufacturer__c,Manufacturer_search__c,Mark_Up__c,Name,OL_Support_Premium__c,OL_Suppt_Stan__c,P_SUPPT_STAN__c,ProductCode,Product_Category__c,QuantityUnitOfMeasure,Quantity_is_term__c,StockKeepingUnit,Support__c,SystemModstamp,Term__c,WMS_Support__c,X1YR_OM_SO_WARRANTY__c,X2YR_OM_SO_WARRANTY__c,X3YR_OM_SO_WARRANTY__c
False,01t0Y000001TEROQA4,,005N1000006UI0rIAG,,,,,,,,,,,,Layout designs & Development,01t0Y000001TEROQA4,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,,Graphic Design,,,,4300,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRlQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Layout designs & Development,01t0Y000001TaRlQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Layout designs & Development,,,,4301,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRnQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Front End Development,01t0Y000001TaRnQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Front End Development,,,,4302,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRpQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Advanced Playlisting,01t0Y000001TaRpQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Backend Development,,,,4303,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRqQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Solutions,01t0Y000001TaRqQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Video wall solution (inc. NTB-4K-2000),,,,,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRuQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Solutions,01t0Y000001TaRuQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Wayfinder solutions,,,,,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRvQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaRvQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Analogue clocks - Annual Licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRwQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaRwQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Basic Standalone - Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRxQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaRxQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Basic - 2-10 players - Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRyQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaRyQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Basic - 11-99 players - Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaRzQAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaRzQAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Basic - 99+ players - Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS0QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS0QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Premium - Standalone,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS1QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS1QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Premium - 2-10 players- Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS2QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS2QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Premium - 11-99 players - Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS3QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS3QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Social media - Premium - 99+ players - Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS4QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS4QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Weather (2 day forecast) - Standalone - Annual Licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS5QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS5QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Weather (2 day forecast) -2-10 players- Annual licence,,,,4320,,,False,,,2025-09-09T15:26:29.000Z,,,,,
False,01t0Y000001TaS6QAK,,005N1000006UI0rIAG,,,,,,,,,,,,Annual cost licences,01t0Y000001TaS6QAK,False,FALSE,FALSE,005N1000006UI0rIAG,,,,,,,,,,,,20.0,Weather (2 day forecast)  - 11-99 players - Annual licence,,,,,,,False,,,2025-09-09T15:26:29.000Z,,,,,
